PersonnelCode;Gösterge Adı;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
101474;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ETKINIA;62444,65915;83279,56;133,3653849
101474;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SECITA;214264,3062;219005,99;102,2130069
101482;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASIF;182387,9232;104882,85;57,50536997
101482;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;34043,06907;47914,62;140,7470634
101482;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;93216,90705;61976,83;66,48668355
101483;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASIF;101055,5568;82379,25;81,51877307
101483;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;39240,44031;25996,23;66,24856856
101483;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;41035,71073;27960,41;68,13677527
101486;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL;75118,60473;23211,32;30,89956221
101486;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;APIKOBAL PLUS;36981,36337;22222,59;60,09132162
101486;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;153047,2512;78402,02;51,22732972
101486;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;TRIBUDAT TABLET;14262,82876;15718,82;110,2082922
101487;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;EVASIF;165258,4511;109437,15;66,22181756
101487;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;SIDATRIA;38606,47108;7136,22;18,48451775
101487;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ZENTICAVIR;78226,87014;164168,34;209,8618284
101488;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;ACETUDIL;35868,99359;8477,63;23,6349815
101488;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;APIKOBAL PLUS;10502,2182;3538,82;33,69592911
101488;TSMv1 - Hedef Ürünler Kota Realizasyonu;2;FLEXO GRUP;61591,99171;34094,09;55,35474508
