Çalışan Sicil No;Gösterge Adı ;Periyod;Planlanan;Gerçekleşen;Sonuç 
100565;TSMv2 - Pazar İndeksi;1;100;100,7796266;100,7796266
100241;TSMv2 - Pazar İndeksi;1;100;94,88984107;94,88984107
101671;TSMv2 - Pazar İndeksi;1;100;119,5651151;119,5651151
101498;TSMv2 - Pazar İndeksi;1;100;102,6878035;102,6878035
100589;TSMv2 - Pazar İndeksi;1;100;103,244436;103,244436
101800;TSMv2 - Pazar İndeksi;1;100;101,2514912;101,2514912
101673;TSMv2 - Pazar İndeksi;1;100;102,8710766;102,8710766
101561;TSMv2 - Pazar İndeksi;1;100;97,93514471;97,93514471
100617;TSMv2 - Pazar İndeksi;1;100;83,44803822;83,44803822
100681;TSMv2 - Pazar İndeksi;1;100;97,37416914;97,37416914
101675;TSMv2 - Pazar İndeksi;1;100;99,55895321;99,55895321
100312;TSMv2 - Pazar İndeksi;1;100;110,5057512;110,5057512
100682;TSMv2 - Pazar İndeksi;1;100;96,21821813;96,21821813
100763;TSMv2 - Pazar İndeksi;1;100;102,0367116;102,0367116
102142;TSMv2 - Pazar İndeksi;1;100;110,4199338;110,4199338
100523;TSMv2 - Pazar İndeksi;1;100;96,85781578;96,85781578
100512;TSMv2 - Pazar İndeksi;1;100;115,7512743;115,7512743
100680;TSMv2 - Pazar İndeksi;1;100;92,28306677;92,28306677
102389;TSMv2 - Pazar İndeksi;1;100;94,06465032;94,06465032
100535;TSMv2 - Pazar İndeksi;1;100;105,5642508;105,5642508
100499;TSMv2 - Pazar İndeksi;1;100;108,0810281;108,0810281
101266;TSMv2 - Pazar İndeksi;1;100;100,0941588;100,0941588
102396;TSMv2 - Pazar İndeksi;1;100;104,7387095;104,7387095
100765;TSMv2 - Pazar İndeksi;1;100;107,3342877;107,3342877
101926;TSMv2 - Pazar İndeksi;1;100;112,5003678;112,5003678
101953;TSMv2 - Pazar İndeksi;1;100;97,11457096;97,11457096
102374;TSMv2 - Pazar İndeksi;1;100;106,2895295;106,2895295
102145;TSMv2 - Pazar İndeksi;1;100;101,0875139;101,0875139
100721;TSMv2 - Pazar İndeksi;1;100;103,1450233;103,1450233
100569;TSMv2 - Pazar İndeksi;1;100;89,80049176;89,80049176
102372;TSMv2 - Pazar İndeksi;1;100;87,00156831;87,00156831
102382;TSMv2 - Pazar İndeksi;1;100;88,48333882;88,48333882
102295;TSMv2 - Pazar İndeksi;1;100;111,5444228;111,5444228
101916;TSMv2 - Pazar İndeksi;1;100;113,8104327;113,8104327
101801;TSMv2 - Pazar İndeksi;1;100;90,86345373;90,86345373
100772;TSMv2 - Pazar İndeksi;1;100;103,5500713;103,5500713
100679;TSMv2 - Pazar İndeksi;1;100;101,3588837;101,3588837
100691;TSMv2 - Pazar İndeksi;1;100;94,37301194;94,37301194
100585;TSMv2 - Pazar İndeksi;1;100;112,0042758;112,0042758
101981;TSMv2 - Pazar İndeksi;1;100;80,76823631;80,76823631
101261;TSMv2 - Pazar İndeksi;1;100;103,4892706;103,4892706
100867;TSMv2 - Pazar İndeksi;1;100;90,62360464;90,62360464
100518;TSMv2 - Pazar İndeksi;1;100;74,26244473;74,26244473
100915;TSMv2 - Pazar İndeksi;1;100;99,07814775;99,07814775
100788;TSMv2 - Pazar İndeksi;1;100;157,8140789;157,8140789
100202;TSMv2 - Pazar İndeksi;1;100;156,4008246;156,4008246
101976;TSMv2 - Pazar İndeksi;1;100;156,5281144;156,5281144
100532;TSMv2 - Pazar İndeksi;1;100;142,9314515;142,9314515
101459;TSMv2 - Pazar İndeksi;1;100;136,4661254;136,4661254
100567;TSMv2 - Pazar İndeksi;1;100;122,2662994;122,2662994
100490;TSMv2 - Pazar İndeksi;1;100;127,0227483;127,0227483
100233;TSMv2 - Pazar İndeksi;1;100;120,0882708;120,0882708
100286;TSMv2 - Pazar İndeksi;1;100;124,3850566;124,3850566
100385;TSMv2 - Pazar İndeksi;1;100;86,35833754;86,35833754
101678;TSMv2 - Pazar İndeksi;1;100;117,5876993;117,5876993
100177;TSMv2 - Pazar İndeksi;1;100;108,3521996;108,3521996
100330;TSMv2 - Pazar İndeksi;1;100;115,1474873;115,1474873
100214;TSMv2 - Pazar İndeksi;1;100;102,3270291;102,3270291
101688;TSMv2 - Pazar İndeksi;1;100;86,06747959;86,06747959
101543;TSMv2 - Pazar İndeksi;1;100;101,8941905;101,8941905
100601;TSMv2 - Pazar İndeksi;1;100;104,0094067;104,0094067
100571;TSMv2 - Pazar İndeksi;1;100;102,2791316;102,2791316
100469;TSMv2 - Pazar İndeksi;1;100;98,60369837;98,60369837
100600;TSMv2 - Pazar İndeksi;1;100;108,8583302;108,8583302
100340;TSMv2 - Pazar İndeksi;1;100;104,8502823;104,8502823
100254;TSMv2 - Pazar İndeksi;1;100;85,6850756;85,6850756
100263;TSMv2 - Pazar İndeksi;1;100;98,93554356;98,93554356
100325;TSMv2 - Pazar İndeksi;1;100;85,03628025;85,03628025
100561;TSMv2 - Pazar İndeksi;1;100;86,48094648;86,48094648
100802;TSMv2 - Pazar İndeksi;1;100;86,53575619;86,53575619
101679;TSMv2 - Pazar İndeksi;1;100;89,3918407;89,3918407
102271;TSMv2 - Pazar İndeksi;1;100;87,9370867;87,9370867
102356;TSMv2 - Pazar İndeksi;1;100;80,65461453;80,65461453
100778;TSMv2 - Pazar İndeksi;1;100;78,07146134;78,07146134
102010;TSMv2 - Pazar İndeksi;1;100;69,84901935;69,84901935
101695;TSMv2 - Pazar İndeksi;1;100;76,59519306;76,59519306
102133;TSMv2 - Pazar İndeksi;1;100;75,91574446;75,91574446
100445;TSMv2 - Pazar İndeksi;1;100;77,53184971;77,53184971
100717;TSMv2 - Pazar İndeksi;1;100;188,9324475;188,9324475
101803;TSMv2 - Pazar İndeksi;1;100;132,2235153;132,2235153
101474;TSMv2 - Pazar İndeksi;1;100;160,3959351;160,3959351
100511;TSMv2 - Pazar İndeksi;1;100;163,808457;163,808457
100623;TSMv2 - Pazar İndeksi;1;100;149,9211707;149,9211707
100856;TSMv2 - Pazar İndeksi;1;100;135,1495121;135,1495121
100397;TSMv2 - Pazar İndeksi;1;100;136,0111988;136,0111988
100491;TSMv2 - Pazar İndeksi;1;100;139,6480904;139,6480904
101686;TSMv2 - Pazar İndeksi;1;100;123,9123044;123,9123044
100709;TSMv2 - Pazar İndeksi;1;100;129,7872783;129,7872783
100865;TSMv2 - Pazar İndeksi;1;100;124,439218;124,439218
100504;TSMv2 - Pazar İndeksi;1;100;115,3162796;115,3162796
100848;TSMv2 - Pazar İndeksi;1;100;90,11720758;90,11720758
101258;TSMv2 - Pazar İndeksi;1;100;112,817222;112,817222
100603;TSMv2 - Pazar İndeksi;1;100;125,2202186;125,2202186
100684;TSMv2 - Pazar İndeksi;1;100;110,8524655;110,8524655
101009;TSMv2 - Pazar İndeksi;1;100;110,0459536;110,0459536
100401;TSMv2 - Pazar İndeksi;1;100;91,19963091;91,19963091
100783;TSMv2 - Pazar İndeksi;1;100;89,96468194;89,96468194
100649;TSMv2 - Pazar İndeksi;1;100;105,9875612;105,9875612
102259;TSMv2 - Pazar İndeksi;1;100;98,0689802;98,0689802
100582;TSMv2 - Pazar İndeksi;1;100;106,6091952;106,6091952
102267;TSMv2 - Pazar İndeksi;1;100;86,25419505;86,25419505
100580;TSMv2 - Pazar İndeksi;1;100;97,66447358;97,66447358
100463;TSMv2 - Pazar İndeksi;1;100;98,33420702;98,33420702
102280;TSMv2 - Pazar İndeksi;1;100;87,0698059;87,0698059
101790;TSMv2 - Pazar İndeksi;1;100;73,08997796;73,08997796
102269;TSMv2 - Pazar İndeksi;1;100;73,00818263;73,00818263
102136;TSMv2 - Pazar İndeksi;1;100;86,03131401;86,03131401
100464;TSMv2 - Pazar İndeksi;1;100;77,59508482;77,59508482
102362;TSMv2 - Pazar İndeksi;1;100;154,2193763;154,2193763
102365;TSMv2 - Pazar İndeksi;1;100;93,13010245;93,13010245
102375;TSMv2 - Pazar İndeksi;1;100;138,9854742;138,9854742
