PersonnelCode;Gösterge Adý;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
101817;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;59002,57;71848,38;121,77
101817;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;385112,90;301375,05;78,26
101817;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;397243,91;379512,26;95,54
100950;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;60865,54;53511,60;87,92
100950;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;378805,63;348671,38;92,04
100950;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;463905,75;454686,00;98,01
101020;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;93757,03;138905,00;148,15
101020;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;205457,87;109424,86;53,26
101020;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;323391,71;220858,93;68,29
100686;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;38735,64;26038,14;67,22
100686;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;398996,49;303254,93;76,00
100686;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;469854,38;447571,21;95,26
102140;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;78654,03;104023,52;132,25
102140;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;177646,65;74952,76;42,19
102140;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;412903,95;222246,31;53,83
100335;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;47497,90;14682,74;30,91
100335;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;248928,01;268896,53;108,02
100335;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;331848,95;321874,11;96,99
101923;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;67083,97;89209,05;132,98
101923;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;390419,94;244066,17;62,51
101923;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;475313,74;428682,64;90,19
101924;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;51094,06;69974,95;136,95
101924;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;366561,91;350065,29;95,50
101924;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;350772,12;340538,11;97,08
102137;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;47296,74;34559,84;73,07
102137;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;423530,73;316668,03;74,77
102137;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;281308,26;249335,68;88,63
100322;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;88864,93;141749,29;159,51
100322;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;483969,38;487624,15;100,76
100322;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;489063,91;600721,27;122,83
101818;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;47795,00;41992,66;87,86
101818;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;445374,89;413306,08;92,80
101818;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;416057,74;360553,52;86,66
101023;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;41182,20;23633,69;57,39
101023;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;256923,84;170486,69;66,36
101023;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;229403,39;281428,63;122,68
100525;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;77248,83;155729,21;201,59
100525;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;574848,66;647311,36;112,61
100525;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;450153,95;410174,05;91,12
101925;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;48650,48;22533,43;46,32
101925;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;551823,32;471484,29;85,44
101925;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;457160,50;538162,00;117,72
100674;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;40510,06;21472,57;53,01
100674;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;320159,57;318964,80;99,63
100674;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;321869,00;359112,57;111,57
102262;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;35832,75;16336,98;45,59
102262;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;181057,57;152683,65;84,33
102262;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;173027,12;179519,60;103,75
100298;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;86909,39;85886,09;98,82
100298;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;512782,12;529195,73;103,20
100298;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;565699,99;592202,11;104,68
100422;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;59944,46;46480,78;77,54
100422;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;380215,79;195291,34;51,36
100422;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;521224,02;406224,29;77,94
100661;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;87584,40;97441,62;111,25
100661;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;614829,00;935161,16;152,10
100661;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;388783,86;458938,29;118,04
100522;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;95380,12;127273,79;133,44
100522;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;413920,07;258775,18;62,52
100522;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;409671,55;374101,51;91,32
100357;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;56033,08;51572,40;92,04
100357;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;370929,55;271604,15;73,22
100357;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;496776,24;504197,42;101,49
100204;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;52438,31;24780,65;47,26
100204;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;434467,51;338645,06;77,94
100204;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;303619,07;394054,72;129,79
100585;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;165089,53;274478,67;166,26
100585;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;241616,80;105757,98;43,77
100585;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;370595,16;262530,84;70,84
101666;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;48093,72;50859,83;105,75
101666;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;522935,09;352661,41;67,44
101666;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;402894,86;403422,97;100,13
100502;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;35562,50;38528,33;108,34
100502;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;420524,85;379999,82;90,36
100502;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;264209,27;288241,91;109,10
101829;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;40135,97;15058,77;37,52
101829;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;327905,33;255497,85;77,92
101829;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;350671,23;449630,02;128,22
101796;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;50967,84;49878,26;97,86
101796;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;509343,06;429315,59;84,29
101796;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;426037,53;424950,62;99,74
100138;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;32940,03;24282,42;73,72
100138;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;347069,11;250419,44;72,15
100138;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;221374,22;193329,23;87,33
102263;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;23303,35;13235,64;56,80
102263;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;204371,67;189094,50;92,52
102263;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;189173,08;199082,00;105,24
101279;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;51713,17;39276,10;75,95
101279;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;362403,70;287062,68;79,21
101279;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;246900,38;304102,91;123,17
100253;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;69353,38;66543,99;95,95
100253;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;695114,07;1106365,66;159,16
100253;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;347159,32;336879,02;97,04
100675;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;58265,76;19853,46;34,07
100675;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;329449,49;275316,30;83,57
100675;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;241089,42;162802,64;67,53
100675;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;17051,42;10349,50;60,70
100675;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;140685,06;123901,02;88,07
100675;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;107720,24;127754,70;118,60
100355;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;76237,12;86199,46;113,07
100355;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;448683,52;403021,94;89,82
100355;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;453296,97;525625,98;115,96
102264;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;39380,89;25470,06;64,68
102264;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;205145,79;180551,70;88,01
102264;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;249816,38;302999,84;121,29
101841;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;44606,62;40042,85;89,77
101841;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;186729,65;179206,44;95,97
101841;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;274857,88;188314,48;68,51
100766;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;39385,28;29904,57;75,93
100766;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;343249,13;314498,60;91,62
100766;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;383377,14;413150,00;107,77
102294;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;33378,94;16239,30;48,65
102294;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;DICLOFLAM;348090,95;237024,90;68,09
102294;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;PARAFON/X;284497,28;345938,32;121,60
100718;TSMv2 - Hedef Ürünler Kota Realizasyonu;1;BRONCHOREST;86637,02;53633,20;61,91
