Çalışan Sicil No;Gösterge Adı ;Periyot;Ürün;Planlanan;Gerçekleşen;Sonuç 
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;EVASIF;294735,76;236019,9;80,08
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;EVASIF;343264,17;291475,2;84,91
100162;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;EVASIF;331309,52;326034,3;98,41
100784;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;EVASIF;276291,75;270846,9;98,03
100198;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;SIDATRIA;150719,57;131000,61;86,92
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;SIDATRIA;122182,59;114689,25;93,87
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;SIDATRIA;59214,48;73910,85;124,82
100162;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;SIDATRIA;90882,57;112140,6;123,39
100784;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;SIDATRIA;235892,3;210518,49;89,24
100198;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ZENTICAVIR;137464,14;179644,74;130,68
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ZENTICAVIR;117333,4;125676,92;107,11
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ZENTICAVIR;152600,41;154977,48;101,56
100162;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ZENTICAVIR;137326,45;134944,15;98,27
100784;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ZENTICAVIR;113667,22;144895,25;127,47
100198;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;EVASIF;317773,29;324962,7;102,26
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;EVASIF;295235,39;277678,35;94,05
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;EVASIF;343846,06;308620,8;89,76
100162;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;EVASIF;331871,15;308754,75;93,03
100784;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;EVASIF;276760,11;311835,6;112,67
100198;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;SIDATRIA;162980,03;169230,36;103,84
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;SIDATRIA;150122,85;148331,43;98,81
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;SIDATRIA;71999,97;68813,55;95,57
100162;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;SIDATRIA;113248,62;136097,91;120,18
100784;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;SIDATRIA;239404,14;300230,97;125,41
100198;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ZENTICAVIR;169553,1;212178,55;125,14
100074;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ZENTICAVIR;122471,33;123127,54;100,54
100087;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ZENTICAVIR;167799,45;165393,62;98,57
100162;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ZENTICAVIR;154862,27;140529,56;90,74
100784;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ZENTICAVIR;136186,71;148861,36;109,31
100690;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ACETUDIL;176513,53;119385,24;67,64
100319;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ACETUDIL;157468,96;253838,52;161,2
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ACETUDIL;192850,86;349611,22;181,29
100678;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ACETUDIL;122277,52;240962,33;197,06
101980;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ACETUDIL;190177,75;223650,43;117,6
101986;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;ACETUDIL;206309,3;245398,04;118,95
100690;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLEXO GRUP;448691,38;371014,85;82,69
100319;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLEXO GRUP;384988,66;374401,98;97,25
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLEXO GRUP;552577,2;423309,95;76,61
100678;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLEXO GRUP;378719,85;377620,82;99,71
101980;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLEXO GRUP;637155,52;558828,88;87,71
101986;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLEXO GRUP;514512,98;475612,3;92,44
100690;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;TRIBUDAT TABLET;174378,95;120180,01;68,92
100319;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;TRIBUDAT TABLET;163755,46;196943,63;120,27
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;TRIBUDAT TABLET;155880,54;116860,2;74,97
100678;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;TRIBUDAT TABLET;150564,95;180892,04;120,14
101980;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;TRIBUDAT TABLET;187855,33;176062,2;93,72
101986;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;TRIBUDAT TABLET;197817,71;206246,53;104,26
100690;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ACETUDIL;288486,88;169240,54;58,66
100319;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ACETUDIL;257361,17;276856,66;107,58
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ACETUDIL;315187,97;392690,36;124,59
100678;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ACETUDIL;199845,64;277562,51;138,89
101980;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ACETUDIL;310819,13;280244,74;90,16
101986;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;ACETUDIL;337183,92;311175,83;92,29
100690;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;APIKOBAL PLUS;147064,69;157597,45;107,16
100319;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;APIKOBAL PLUS;98631,55;130726,41;132,54
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;APIKOBAL PLUS;122701,93;139213,58;113,46
100678;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;APIKOBAL PLUS;64928,56;129556,8;199,54
101980;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;APIKOBAL PLUS;147593,29;210229,9;142,44
101986;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;APIKOBAL PLUS;161373,25;220186,58;136,45
100690;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;FLEXO GRUP;516954,99;383669,18;74,22
100319;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;FLEXO GRUP;444376,95;369734,07;83,2
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;FLEXO GRUP;628447,45;486461,95;77,41
100678;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;FLEXO GRUP;432690,23;397280,32;91,82
101980;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;FLEXO GRUP;729335,67;621667,12;85,24
101986;BTMv1 - Hedef Ürünler Kota Realizasyonu;5;FLEXO GRUP;591508,67;483262,98;81,7
100690;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ACETUDIL;304816,32;99562;32,66
100319;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ACETUDIL;271928,78;244573,31;89,94
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ACETUDIL;333028,8;239714,09;71,98
100678;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ACETUDIL;211157,66;159068,87;75,33
101980;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ACETUDIL;328412,67;180370,68;54,92
101986;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;ACETUDIL;356269,8;211546,96;59,38
100690;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;APIKOBAL PLUS;252951,27;359909,99;142,28
100319;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;APIKOBAL PLUS;169646,26;233892,01;137,87
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;APIKOBAL PLUS;211047,32;374845,01;177,61
100678;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;APIKOBAL PLUS;111677,12;230323,2;206,24
101980;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;APIKOBAL PLUS;253860,45;410083,26;161,54
101986;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;APIKOBAL PLUS;277561,99;391159,57;140,93
100690;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;FLEXO GRUP;484002,23;342677,17;70,8
100319;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;FLEXO GRUP;417277,33;372931,13;89,37
100088;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;FLEXO GRUP;587478,64;411200,14;69,99
100678;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;FLEXO GRUP;405496,6;318260,97;78,49
101980;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;FLEXO GRUP;684042,64;544693,8;79,63
101986;BTMv1 - Hedef Ürünler Kota Realizasyonu;6;FLEXO GRUP;554745,64;464680,45;83,76
100077;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLUREND;182035,61;195945,52;107,64
100084;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLUREND;197636,57;230812,28;116,79
100493;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLUREND;186715,22;220882,12;118,3
100234;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLUREND;179234,37;156180,4;87,14
100419;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLUREND;158297,38;253897,4;160,39
100313;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLUREND;138828,31;144459,92;104,06
100246;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLUREND;132130,9;153261,4;115,99
100075;BTMv1 - Hedef Ürünler Kota Realizasyonu;4;FLUREND;123311,52;130882,4;106,14
