Çal??an Sicil No;Gösterge Ad? ;Periyot;Ürün;Planlanan;Gerçekle?en;Sonuç 
101673;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;13269,24;14721,41;110,94
101673;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;44268,84;48794,90;110,22
101675;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;23692,52;16857,72;71,15
101675;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;256900,95;206117,61;80,23
101675;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;16632,86;9581,20;57,6
101675;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;62004,36;76535,31;123,44
101676;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;23094,43;26847,48;116,25
101676;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;279544,43;239650,77;85,73
101676;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;12809,40;8782,70;68,56
101676;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TERBISIL;67424,39;75389,36;111,81
101677;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;27132,44;14797,29;54,54
101677;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;76512,10;46297,14;60,51
101677;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;26283,21;18455,51;70,22
101678;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;46115,32;83231,62;180,49
101678;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;131593,42;178502,94;135,65
101678;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;237859,23;269538,36;113,32
101679;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;28137,90;22575,07;80,23
101679;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;82161,41;60476,48;73,61
101679;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;167186,44;184186,94;110,17
101680;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;PHOCUSS  ;22533,50;12306,06;54,61
101680;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;DULOXX;79420,42;108101,13;136,11
101680;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;GYREX;152408,04;120718,82;79,21
101683;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;ACETUDIL;32424,87;45279,25;139,64
101683;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;FLEXO GRUP;88253,73;98649,13;111,78
101683;TSMv1 - Hedef Ürünler Kota Realizasyonu;1;TRIBUDAT;29281,17;29337,20;100,19
