Çalışan Sicil No;Gösterge Adı ;Periyod;Hedef Ürün;Planlanan;Gerçekleşen;Sonuç 
100268;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;CRALIUM;25014,08104;23566,12;105,7098494
100311;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;CRALIUM;27515,21753;26574,75;108,3697718
100297;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;CRALIUM;14535,93057;10548,49;81,42530191
100458;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DULOXX;3392975,811;3802149,41;111,3079891
100295;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DULOXX;4366785,337;4229778,95;96,21299848
100586;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DULOXX;3768307,758;3888849,89;102,5068143
100659;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DULOXX;4112364,998;4063632,24;98,15234154
100115;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DULOXX;2630051,653;2599942,42;98,19228656
100268;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DULOXX;2935354,768;2945422,84;99,67011833
100311;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DULOXX;3226919,949;3318575,5;102,15072
100297;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;DULOXX;1878532,794;1770599,55;93,62233962
100458;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ETKINIA;743842,6041;815453,6;113,5565177
100295;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ETKINIA;875401,9598;843043,6;99,75539263
100586;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ETKINIA;576874,1354;472874,8;84,91002413
100659;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ETKINIA;677064,9022;568443;86,96619773
100115;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ETKINIA;626229,3692;604274,4;99,95272194
100268;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ETKINIA;596900,769;563690,4;97,82105925
100311;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ETKINIA;696688,4302;742153,2;110,3440264
100297;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;ETKINIA;394077,59;453205,8;119,1262804
100458;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;GYREX;6661574,615;6311064,78;97,48690083
100295;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;GYREX;8536778,287;8098670,54;97,62032572
100586;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;GYREX;7965022,751;7165087,1;92,56674153
100659;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;GYREX;7905180,973;6921563,67;90,09753815
100115;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;GYREX;6272447,737;6461732,33;106,0064853
100268;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;GYREX;6065337,236;6139370,88;104,1572344
100311;BTM - Hedef Ürünler Kota Realizasyonu (Net TL) (Grup TR kota realizasyonuna oranı);1;GYREX;6530084,979;6801118,75;107,1721758
