Çalýþan Sicil No;Gösterge Adý ;Periyot;Ürün;Planlanan;Gerçekleþen;Sonuç 
100115;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;686304,57;678011,18;98,79
100115;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SECITA;2470979;2727364,45;110,38
100115;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;UKRA;188302,82;164468,54;87,34
100311;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ETKINIA;684719,6;737314,3;107,68
100311;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SECITA;2441510,02;2539960,42;104,03
100311;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;UKRA;312784,25;385082,65;123,11
100084;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1879495,18;2294877,08;122,1
100084;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;8945104,74;8671630,64;96,94
100084;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;287396,92;283938,48;98,8
100084;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PÝNÝX;211566,19;207041,56;97,86
100084;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST;92190,5;119335,34;129,44
100077;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1700770,22;2177481,79;128,03
100077;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;5539826,83;5241911,88;94,62
100077;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;329966,03;356353,68;108
100077;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PÝNÝX;179944,53;250635;139,28
100077;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST;92844,34;157942,79;170,12
100493;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1716871,83;2337044,36;136,12
100493;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;8626064,48;8503954,4;98,58
100493;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;315758,32;340722,8;107,91
100493;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PÝNÝX;230747,77;207600,8;89,97
100493;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST;118605,37;165593,4;139,62
100246;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1221142,19;1232852,03;100,96
100246;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;4856053,52;5074486,58;104,5
100246;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;295229,29;196584,48;66,59
100246;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PÝNÝX;170937,27;233639,56;136,68
100246;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST;95532,9;182396,39;190,93
100313;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1099523,77;1099911,6;100,04
100313;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;5241817,14;5308231,01;101,27
100313;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;271478,61;216165,28;79,63
100313;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PÝNÝX;167901,08;150994,8;89,93
100313;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST;94805,84;166807,22;175,95
100302;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;489926,84;538147,21;109,84
100302;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;1876049,91;1922149,72;102,46
100302;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;53105,35;55737,76;104,96
100302;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PÝNÝX;151703,14;150762,92;99,38
100419;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1531561,91;1561260,13;101,94
100419;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;6094776,7;5573096,79;91,44
100419;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;260987,86;266788,4;102,22
100419;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PÝNÝX;173375,34;202390,32;116,74
100419;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST;103305,67;181430,65;175,63
100234;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;FLUREND;1523869,62;1737907,16;114,05
100234;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;ILIADIN;6861824,82;6453985,33;94,06
100234;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;MAGNIS;266011,32;252035,28;94,75
100234;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PÝNÝX;203811,79;165016,72;80,97
100234;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;PULMOREST;122920,67;178258,77;145,02
100302;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;EVASIF ;5919718;6204770;104,82
100302;BTMv2 - Hedef Ürünler Kota Realizasyonu;1;SIDATRIA ;2738287;3560207;130,02
