Çalýþan Sicil No;Gösterge Adý ;Periyot;Planlanan;Gerçekleþen;Sonuç 
100104;VA TSM Toplam Grup Kota Realizasyonu;4;93426,31;80140,18;85,78
100104;VA TSM Toplam Grup Kota Realizasyonu;5;107570,19;117256,97;109,01
100104;VA TSM Toplam Grup Kota Realizasyonu;6;104963,59;95980,55;91,44
100336;VA TSM Toplam Grup Kota Realizasyonu;1;119681,11;133812,85;111,81
100336;VA TSM Toplam Grup Kota Realizasyonu;2;147318,53;145558,87;98,81
100336;VA TSM Toplam Grup Kota Realizasyonu;3;136224,49;143876,9;105,62
100336;VA TSM Toplam Grup Kota Realizasyonu;4;125219,02;139390,87;111,32
100336;VA TSM Toplam Grup Kota Realizasyonu;5;143669,42;185372,15;129,03
100336;VA TSM Toplam Grup Kota Realizasyonu;6;139609,95;177036,07;126,81
100450;VA TSM Toplam Grup Kota Realizasyonu;1;135371,11;118860,35;87,8
100450;VA TSM Toplam Grup Kota Realizasyonu;2;164307,37;115222,14;70,13
100450;VA TSM Toplam Grup Kota Realizasyonu;3;152876,59;140469,09;91,88
100450;VA TSM Toplam Grup Kota Realizasyonu;4;141491,76;111600,68;78,87
100450;VA TSM Toplam Grup Kota Realizasyonu;5;163991,96;167250,35;101,99
100450;VA TSM Toplam Grup Kota Realizasyonu;6;158129,35;156382,51;98,9
100711;VA TSM Toplam Grup Kota Realizasyonu;1;117859,94;98635,26;83,69
100711;VA TSM Toplam Grup Kota Realizasyonu;2;142380,96;108904,95;76,49
100711;VA TSM Toplam Grup Kota Realizasyonu;3;133068,1;136310,92;102,44
100711;VA TSM Toplam Grup Kota Realizasyonu;4;122597,59;100733,33;82,17
100711;VA TSM Toplam Grup Kota Realizasyonu;5;142463,96;103552,94;72,69
100711;VA TSM Toplam Grup Kota Realizasyonu;6;136966,27;95533,82;69,75
100626;VA TSM Toplam Grup Kota Realizasyonu;1;124590,29;122799,1;98,56
100626;VA TSM Toplam Grup Kota Realizasyonu;2;155407,77;118845,89;76,47
100626;VA TSM Toplam Grup Kota Realizasyonu;3;142299,87;142861,5;100,39
100626;VA TSM Toplam Grup Kota Realizasyonu;4;131417,4;104332,78;79,39
100626;VA TSM Toplam Grup Kota Realizasyonu;5;150176,43;175280,23;116,72
100626;VA TSM Toplam Grup Kota Realizasyonu;6;146157,63;162219,07;110,99
100086;VA TSM Toplam Grup Kota Realizasyonu;1;118214,58;162151,21;137,17
100086;VA TSM Toplam Grup Kota Realizasyonu;2;146231,74;149535,59;102,26
100086;VA TSM Toplam Grup Kota Realizasyonu;3;133667,73;130509,71;97,64
100086;VA TSM Toplam Grup Kota Realizasyonu;4;123267,26;128937,89;104,6
100086;VA TSM Toplam Grup Kota Realizasyonu;5;141314,94;160178,86;113,35
100086;VA TSM Toplam Grup Kota Realizasyonu;6;138063,18;141348,02;102,38
100444;VA TSM Toplam Grup Kota Realizasyonu;1;111659,94;148752,68;133,22
100444;VA TSM Toplam Grup Kota Realizasyonu;2;141313,54;163351,31;115,59
100444;VA TSM Toplam Grup Kota Realizasyonu;3;129453,72;154480,15;119,33
100444;VA TSM Toplam Grup Kota Realizasyonu;4;118774,68;160374,7;135,02
100444;VA TSM Toplam Grup Kota Realizasyonu;5;136214,73;181613,94;133,33
